abstim,abresp,V1
A,common,0.694436090225564
AB,common,0.892105263157895
AC,common,0.170476190476191
B,common,0.874101921470343
BC,common,0.374210526315789
C,common,0.110860975969335
A,rare,0.305563909774436
AB,rare,0.107894736842105
AC,rare,0.829523809523809
B,rare,0.125898078529657
BC,rare,0.625789473684211
C,rare,0.889139024030665
