stim,resp,prob
A,common,0.804766633565045
AB,common,0.948907646474677
AC,common,0.0950347567030784
B,common,0.944190665342602
BC,common,0.280834160873883
C,common,0.0632075471698113
A,rare,0.195233366434955
AB,rare,0.0510923535253227
AC,rare,0.904965243296922
B,rare,0.0558093346573982
BC,rare,0.719165839126117
C,rare,0.936792452830189
